Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Date
1503960366,4/12/2016 12:00:00 AM,1,327,346,0004-12-20
1503960366,4/13/2016 12:00:00 AM,2,384,407,NA
1503960366,4/15/2016 12:00:00 AM,1,412,442,NA
1503960366,4/16/2016 12:00:00 AM,2,340,367,NA
1503960366,4/17/2016 12:00:00 AM,1,700,712,NA
1503960366,4/19/2016 12:00:00 AM,1,304,320,NA
1503960366,4/20/2016 12:00:00 AM,1,360,377,NA
1503960366,4/21/2016 12:00:00 AM,1,325,364,NA
1503960366,4/23/2016 12:00:00 AM,1,361,384,NA
1503960366,4/24/2016 12:00:00 AM,1,430,449,NA
1503960366,4/25/2016 12:00:00 AM,1,277,323,NA
1503960366,4/26/2016 12:00:00 AM,1,245,274,NA
1503960366,4/28/2016 12:00:00 AM,1,366,393,NA
1503960366,4/29/2016 12:00:00 AM,1,341,354,NA
1503960366,4/30/2016 12:00:00 AM,1,404,425,NA
1503960366,5/1/2016 12:00:00 AM,1,369,396,0005-01-20
1503960366,5/2/2016 12:00:00 AM,1,277,309,0005-02-20
1503960366,5/3/2016 12:00:00 AM,1,273,296,0005-03-20
1503960366,5/5/2016 12:00:00 AM,1,247,264,0005-05-20
1503960366,5/6/2016 12:00:00 AM,1,334,367,0005-06-20
1503960366,5/7/2016 12:00:00 AM,1,331,349,0005-07-20
1503960366,5/8/2016 12:00:00 AM,1,594,611,0005-08-20
1503960366,5/9/2016 12:00:00 AM,1,338,342,0005-09-20
1503960366,5/10/2016 12:00:00 AM,1,383,403,0005-10-20
1503960366,5/11/2016 12:00:00 AM,1,285,306,0005-11-20
1644430081,4/29/2016 12:00:00 AM,1,119,127,NA
1644430081,4/30/2016 12:00:00 AM,1,124,142,NA
1644430081,5/2/2016 12:00:00 AM,1,796,961,0005-02-20
1644430081,5/8/2016 12:00:00 AM,1,137,154,0005-08-20
1844505072,4/15/2016 12:00:00 AM,1,644,961,NA
1844505072,4/30/2016 12:00:00 AM,1,722,961,NA
1844505072,5/1/2016 12:00:00 AM,1,590,961,0005-01-20
1927972279,4/12/2016 12:00:00 AM,3,750,775,0004-12-20
1927972279,4/13/2016 12:00:00 AM,1,398,422,NA
1927972279,4/15/2016 12:00:00 AM,2,475,499,NA
1927972279,4/26/2016 12:00:00 AM,1,296,315,NA
1927972279,4/28/2016 12:00:00 AM,1,166,178,NA
2026352035,4/12/2016 12:00:00 AM,1,503,546,0004-12-20
2026352035,4/13/2016 12:00:00 AM,1,531,565,NA
2026352035,4/14/2016 12:00:00 AM,1,545,568,NA
2026352035,4/15/2016 12:00:00 AM,1,523,573,NA
2026352035,4/16/2016 12:00:00 AM,1,524,567,NA
2026352035,4/17/2016 12:00:00 AM,1,437,498,NA
2026352035,4/19/2016 12:00:00 AM,1,498,540,NA
2026352035,4/20/2016 12:00:00 AM,1,461,510,NA
2026352035,4/21/2016 12:00:00 AM,1,477,514,NA
2026352035,4/22/2016 12:00:00 AM,1,520,545,NA
2026352035,4/23/2016 12:00:00 AM,1,522,554,NA
2026352035,4/24/2016 12:00:00 AM,1,555,591,NA
2026352035,4/25/2016 12:00:00 AM,1,506,531,NA
2026352035,4/27/2016 12:00:00 AM,1,508,545,NA
2026352035,4/28/2016 12:00:00 AM,1,513,545,NA
2026352035,4/29/2016 12:00:00 AM,1,490,510,NA
2026352035,4/30/2016 12:00:00 AM,1,573,607,NA
2026352035,5/1/2016 12:00:00 AM,1,527,546,0005-01-20
2026352035,5/2/2016 12:00:00 AM,1,511,543,0005-02-20
2026352035,5/4/2016 12:00:00 AM,1,538,560,0005-04-20
2026352035,5/5/2016 12:00:00 AM,1,468,485,0005-05-20
2026352035,5/6/2016 12:00:00 AM,1,524,548,0005-06-20
2026352035,5/7/2016 12:00:00 AM,1,511,521,0005-07-20
2026352035,5/8/2016 12:00:00 AM,1,541,568,0005-08-20
2026352035,5/9/2016 12:00:00 AM,1,531,556,0005-09-20
2026352035,5/10/2016 12:00:00 AM,1,357,380,0005-10-20
2026352035,5/11/2016 12:00:00 AM,1,523,553,0005-11-20
2026352035,5/12/2016 12:00:00 AM,1,456,485,0005-12-20
2320127002,4/23/2016 12:00:00 AM,1,61,69,NA
2347167796,4/13/2016 12:00:00 AM,1,467,531,NA
2347167796,4/14/2016 12:00:00 AM,1,445,489,NA
2347167796,4/15/2016 12:00:00 AM,1,452,504,NA
2347167796,4/17/2016 12:00:00 AM,1,556,602,NA
2347167796,4/18/2016 12:00:00 AM,1,500,557,NA
2347167796,4/19/2016 12:00:00 AM,1,465,514,NA
2347167796,4/21/2016 12:00:00 AM,1,460,484,NA
2347167796,4/22/2016 12:00:00 AM,1,405,461,NA
2347167796,4/23/2016 12:00:00 AM,1,374,386,NA
2347167796,4/24/2016 12:00:00 AM,1,442,459,NA
2347167796,4/25/2016 12:00:00 AM,1,433,471,NA
2347167796,4/26/2016 12:00:00 AM,1,436,490,NA
2347167796,4/27/2016 12:00:00 AM,1,448,499,NA
2347167796,4/28/2016 12:00:00 AM,1,408,450,NA
2347167796,4/29/2016 12:00:00 AM,1,411,473,NA
3977333714,4/12/2016 12:00:00 AM,1,274,469,0004-12-20
3977333714,4/13/2016 12:00:00 AM,2,295,456,NA
3977333714,4/14/2016 12:00:00 AM,1,291,397,NA
3977333714,4/15/2016 12:00:00 AM,1,424,556,NA
3977333714,4/16/2016 12:00:00 AM,1,283,510,NA
3977333714,4/17/2016 12:00:00 AM,1,381,566,NA
3977333714,4/18/2016 12:00:00 AM,2,412,522,NA
3977333714,4/19/2016 12:00:00 AM,1,219,395,NA
3977333714,4/20/2016 12:00:00 AM,2,152,305,NA
3977333714,4/21/2016 12:00:00 AM,1,332,512,NA
3977333714,4/22/2016 12:00:00 AM,1,355,476,NA
3977333714,4/23/2016 12:00:00 AM,1,235,372,NA
3977333714,4/24/2016 12:00:00 AM,1,310,526,NA
3977333714,4/25/2016 12:00:00 AM,1,262,467,NA
3977333714,4/26/2016 12:00:00 AM,1,250,371,NA
3977333714,4/27/2016 12:00:00 AM,1,349,540,NA
3977333714,4/28/2016 12:00:00 AM,1,261,423,NA
3977333714,4/29/2016 12:00:00 AM,1,333,478,NA
3977333714,4/30/2016 12:00:00 AM,1,237,382,NA
3977333714,5/1/2016 12:00:00 AM,1,383,626,0005-01-20
3977333714,5/2/2016 12:00:00 AM,1,230,384,0005-02-20
3977333714,5/3/2016 12:00:00 AM,1,292,500,0005-03-20
3977333714,5/4/2016 12:00:00 AM,1,213,336,0005-04-20
3977333714,5/5/2016 12:00:00 AM,1,318,480,0005-05-20
3977333714,5/6/2016 12:00:00 AM,1,323,512,0005-06-20
3977333714,5/7/2016 12:00:00 AM,1,237,443,0005-07-20
3977333714,5/8/2016 12:00:00 AM,2,259,456,0005-08-20
3977333714,5/10/2016 12:00:00 AM,1,312,452,0005-10-20
4020332650,4/12/2016 12:00:00 AM,1,501,541,0004-12-20
4020332650,4/16/2016 12:00:00 AM,1,77,77,NA
4020332650,5/3/2016 12:00:00 AM,1,322,332,0005-03-20
4020332650,5/4/2016 12:00:00 AM,1,478,536,0005-04-20
4020332650,5/5/2016 12:00:00 AM,1,226,248,0005-05-20
4020332650,5/6/2016 12:00:00 AM,1,385,408,0005-06-20
4020332650,5/8/2016 12:00:00 AM,1,364,402,0005-08-20
4020332650,5/10/2016 12:00:00 AM,1,442,494,0005-10-20
4319703577,4/14/2016 12:00:00 AM,1,535,557,NA
4319703577,4/15/2016 12:00:00 AM,1,465,491,NA
4319703577,4/16/2016 12:00:00 AM,1,506,522,NA
4319703577,4/18/2016 12:00:00 AM,1,515,551,NA
4319703577,4/19/2016 12:00:00 AM,2,461,498,NA
4319703577,4/20/2016 12:00:00 AM,1,523,543,NA
4319703577,4/21/2016 12:00:00 AM,1,59,65,NA
4319703577,4/22/2016 12:00:00 AM,1,533,550,NA
4319703577,4/23/2016 12:00:00 AM,1,692,722,NA
4319703577,4/24/2016 12:00:00 AM,1,467,501,NA
4319703577,4/25/2016 12:00:00 AM,1,488,506,NA
4319703577,4/26/2016 12:00:00 AM,1,505,516,NA
4319703577,4/27/2016 12:00:00 AM,1,286,307,NA
4319703577,4/28/2016 12:00:00 AM,1,497,522,NA
4319703577,4/29/2016 12:00:00 AM,1,523,546,NA
4319703577,4/30/2016 12:00:00 AM,1,490,516,NA
4319703577,5/1/2016 12:00:00 AM,1,484,500,0005-01-20
4319703577,5/2/2016 12:00:00 AM,1,478,506,0005-02-20
4319703577,5/3/2016 12:00:00 AM,1,474,512,0005-03-20
4319703577,5/6/2016 12:00:00 AM,1,450,491,0005-06-20
4319703577,5/7/2016 12:00:00 AM,1,507,530,0005-07-20
4319703577,5/8/2016 12:00:00 AM,1,602,638,0005-08-20
4319703577,5/9/2016 12:00:00 AM,1,535,565,0005-09-20
4319703577,5/10/2016 12:00:00 AM,1,487,517,0005-10-20
4319703577,5/11/2016 12:00:00 AM,1,529,558,0005-11-20
4319703577,5/12/2016 12:00:00 AM,1,302,321,0005-12-20
4388161847,4/15/2016 12:00:00 AM,1,499,526,NA
4388161847,4/16/2016 12:00:00 AM,2,426,448,NA
4388161847,4/17/2016 12:00:00 AM,2,619,641,NA
4388161847,4/18/2016 12:00:00 AM,1,99,104,NA
4388161847,4/19/2016 12:00:00 AM,1,329,338,NA
4388161847,4/20/2016 12:00:00 AM,1,421,451,NA
4388161847,4/21/2016 12:00:00 AM,1,442,458,NA
4388161847,4/22/2016 12:00:00 AM,1,82,85,NA
4388161847,4/23/2016 12:00:00 AM,1,478,501,NA
4388161847,4/24/2016 12:00:00 AM,3,552,595,NA
4388161847,4/26/2016 12:00:00 AM,1,319,346,NA
4388161847,4/27/2016 12:00:00 AM,1,439,500,NA
4388161847,4/28/2016 12:00:00 AM,1,428,458,NA
4388161847,4/30/2016 12:00:00 AM,2,409,430,NA
4388161847,5/1/2016 12:00:00 AM,1,547,597,0005-01-20
4388161847,5/2/2016 12:00:00 AM,2,368,376,0005-02-20
4388161847,5/4/2016 12:00:00 AM,1,390,414,0005-04-20
4388161847,5/5/2016 12:00:00 AM,1,471,495,0005-05-20
4388161847,5/5/2016 12:00:00 AM,1,471,495,0005-05-20
4388161847,5/7/2016 12:00:00 AM,1,472,496,0005-07-20
4388161847,5/8/2016 12:00:00 AM,2,529,541,0005-08-20
4388161847,5/9/2016 12:00:00 AM,1,62,65,0005-09-20
4388161847,5/10/2016 12:00:00 AM,1,354,375,0005-10-20
4388161847,5/11/2016 12:00:00 AM,1,469,494,0005-11-20
4445114986,4/12/2016 12:00:00 AM,2,429,457,0004-12-20
4445114986,4/13/2016 12:00:00 AM,2,370,406,NA
4445114986,4/14/2016 12:00:00 AM,1,441,492,NA
4445114986,4/15/2016 12:00:00 AM,2,337,379,NA
4445114986,4/16/2016 12:00:00 AM,1,462,499,NA
4445114986,4/17/2016 12:00:00 AM,1,98,107,NA
4445114986,4/19/2016 12:00:00 AM,2,388,424,NA
4445114986,4/20/2016 12:00:00 AM,1,439,462,NA
4445114986,4/21/2016 12:00:00 AM,1,436,469,NA
4445114986,4/22/2016 12:00:00 AM,1,388,417,NA
4445114986,4/25/2016 12:00:00 AM,1,328,345,NA
4445114986,4/26/2016 12:00:00 AM,2,353,391,NA
4445114986,4/27/2016 12:00:00 AM,1,332,374,NA
4445114986,4/28/2016 12:00:00 AM,1,419,442,NA
4445114986,4/29/2016 12:00:00 AM,1,106,108,NA
4445114986,4/30/2016 12:00:00 AM,1,322,353,NA
4445114986,5/1/2016 12:00:00 AM,2,439,459,0005-01-20
4445114986,5/2/2016 12:00:00 AM,1,502,542,0005-02-20
4445114986,5/3/2016 12:00:00 AM,2,417,450,0005-03-20
4445114986,5/4/2016 12:00:00 AM,2,337,363,0005-04-20
4445114986,5/5/2016 12:00:00 AM,2,462,513,0005-05-20
4445114986,5/6/2016 12:00:00 AM,2,374,402,0005-06-20
4445114986,5/7/2016 12:00:00 AM,2,401,436,0005-07-20
4445114986,5/8/2016 12:00:00 AM,1,361,391,0005-08-20
4445114986,5/9/2016 12:00:00 AM,1,457,533,0005-09-20
4445114986,5/10/2016 12:00:00 AM,1,405,426,0005-10-20
4445114986,5/11/2016 12:00:00 AM,1,499,530,0005-11-20
4445114986,5/12/2016 12:00:00 AM,1,483,501,0005-12-20
4558609924,4/21/2016 12:00:00 AM,1,126,137,NA
4558609924,4/26/2016 12:00:00 AM,1,103,121,NA
4558609924,4/29/2016 12:00:00 AM,1,171,179,NA
4558609924,5/1/2016 12:00:00 AM,1,115,129,0005-01-20
4558609924,5/8/2016 12:00:00 AM,1,123,134,0005-08-20
4702921684,4/12/2016 12:00:00 AM,1,425,439,0004-12-20
4702921684,4/13/2016 12:00:00 AM,2,400,430,NA
4702921684,4/14/2016 12:00:00 AM,1,384,415,NA
4702921684,4/15/2016 12:00:00 AM,1,253,257,NA
4702921684,4/16/2016 12:00:00 AM,2,382,406,NA
4702921684,4/17/2016 12:00:00 AM,1,591,612,NA
4702921684,4/18/2016 12:00:00 AM,1,293,312,NA
4702921684,4/19/2016 12:00:00 AM,1,457,487,NA
4702921684,4/20/2016 12:00:00 AM,1,454,468,NA
4702921684,4/21/2016 12:00:00 AM,1,425,434,NA
4702921684,4/23/2016 12:00:00 AM,1,465,475,NA
4702921684,4/24/2016 12:00:00 AM,1,480,506,NA
4702921684,4/25/2016 12:00:00 AM,1,370,380,NA
4702921684,4/26/2016 12:00:00 AM,1,421,429,NA
4702921684,4/27/2016 12:00:00 AM,1,432,449,NA
4702921684,4/28/2016 12:00:00 AM,1,442,461,NA
4702921684,4/29/2016 12:00:00 AM,1,433,447,NA
4702921684,4/30/2016 12:00:00 AM,1,479,501,NA
4702921684,5/3/2016 12:00:00 AM,1,327,373,0005-03-20
4702921684,5/4/2016 12:00:00 AM,1,412,434,0005-04-20
4702921684,5/5/2016 12:00:00 AM,1,414,428,0005-05-20
4702921684,5/6/2016 12:00:00 AM,1,404,449,0005-06-20
4702921684,5/7/2016 12:00:00 AM,1,520,543,0005-07-20
4702921684,5/7/2016 12:00:00 AM,1,520,543,0005-07-20
4702921684,5/9/2016 12:00:00 AM,1,435,458,0005-09-20
4702921684,5/10/2016 12:00:00 AM,1,416,431,0005-10-20
4702921684,5/11/2016 12:00:00 AM,1,354,366,0005-11-20
4702921684,5/12/2016 12:00:00 AM,1,404,442,0005-12-20
5553957443,4/12/2016 12:00:00 AM,1,441,464,0004-12-20
5553957443,4/13/2016 12:00:00 AM,2,455,488,NA
5553957443,4/14/2016 12:00:00 AM,1,357,418,NA
5553957443,4/15/2016 12:00:00 AM,1,377,409,NA
5553957443,4/16/2016 12:00:00 AM,2,651,686,NA
5553957443,4/17/2016 12:00:00 AM,1,350,402,NA
5553957443,4/18/2016 12:00:00 AM,2,520,541,NA
5553957443,4/19/2016 12:00:00 AM,1,357,410,NA
5553957443,4/20/2016 12:00:00 AM,1,658,678,NA
5553957443,4/21/2016 12:00:00 AM,1,399,431,NA
5553957443,4/22/2016 12:00:00 AM,1,322,353,NA
5553957443,4/23/2016 12:00:00 AM,2,631,725,NA
5553957443,4/24/2016 12:00:00 AM,2,553,640,NA
5553957443,4/25/2016 12:00:00 AM,1,433,468,NA
5553957443,4/26/2016 12:00:00 AM,1,412,453,NA
5553957443,4/27/2016 12:00:00 AM,1,347,391,NA
5553957443,4/28/2016 12:00:00 AM,1,421,457,NA
5553957443,4/29/2016 12:00:00 AM,1,450,495,NA
5553957443,4/30/2016 12:00:00 AM,2,775,843,NA
5553957443,5/1/2016 12:00:00 AM,2,622,686,0005-01-20
5553957443,5/2/2016 12:00:00 AM,1,409,471,0005-02-20
5553957443,5/3/2016 12:00:00 AM,1,380,429,0005-03-20
5553957443,5/4/2016 12:00:00 AM,1,447,470,0005-04-20
5553957443,5/5/2016 12:00:00 AM,1,419,464,0005-05-20
5553957443,5/6/2016 12:00:00 AM,1,400,434,0005-06-20
5553957443,5/7/2016 12:00:00 AM,1,442,470,0005-07-20
5553957443,5/8/2016 12:00:00 AM,1,568,608,0005-08-20
5553957443,5/9/2016 12:00:00 AM,1,453,494,0005-09-20
5553957443,5/10/2016 12:00:00 AM,1,418,443,0005-10-20
5553957443,5/11/2016 12:00:00 AM,1,463,486,0005-11-20
5553957443,5/12/2016 12:00:00 AM,1,438,475,0005-12-20
5577150313,4/12/2016 12:00:00 AM,1,419,438,0004-12-20
5577150313,4/13/2016 12:00:00 AM,1,432,458,NA
5577150313,4/14/2016 12:00:00 AM,1,477,497,NA
5577150313,4/15/2016 12:00:00 AM,1,392,413,NA
5577150313,4/16/2016 12:00:00 AM,1,406,445,NA
5577150313,4/17/2016 12:00:00 AM,1,549,583,NA
5577150313,4/18/2016 12:00:00 AM,1,527,553,NA
5577150313,4/19/2016 12:00:00 AM,1,449,465,NA
5577150313,4/20/2016 12:00:00 AM,1,447,480,NA
5577150313,4/21/2016 12:00:00 AM,1,414,437,NA
5577150313,4/22/2016 12:00:00 AM,1,338,366,NA
5577150313,4/23/2016 12:00:00 AM,1,384,402,NA
5577150313,4/24/2016 12:00:00 AM,1,543,615,NA
5577150313,4/25/2016 12:00:00 AM,1,421,461,NA
5577150313,4/26/2016 12:00:00 AM,1,354,377,NA
5577150313,4/27/2016 12:00:00 AM,1,424,452,NA
5577150313,4/28/2016 12:00:00 AM,1,361,372,NA
5577150313,4/29/2016 12:00:00 AM,1,459,485,NA
5577150313,4/30/2016 12:00:00 AM,1,412,433,NA
5577150313,5/1/2016 12:00:00 AM,1,379,398,0005-01-20
5577150313,5/2/2016 12:00:00 AM,2,525,553,0005-02-20
5577150313,5/3/2016 12:00:00 AM,1,508,543,0005-03-20
5577150313,5/4/2016 12:00:00 AM,1,603,634,0005-04-20
5577150313,5/5/2016 12:00:00 AM,1,74,78,0005-05-20
5577150313,5/10/2016 12:00:00 AM,1,504,562,0005-10-20
5577150313,5/11/2016 12:00:00 AM,1,431,476,0005-11-20
6117666160,4/16/2016 12:00:00 AM,1,380,398,NA
6117666160,4/17/2016 12:00:00 AM,2,336,350,NA
6117666160,4/18/2016 12:00:00 AM,2,493,510,NA
6117666160,4/19/2016 12:00:00 AM,1,465,492,NA
6117666160,4/20/2016 12:00:00 AM,1,474,502,NA
6117666160,4/21/2016 12:00:00 AM,1,508,550,NA
6117666160,4/22/2016 12:00:00 AM,1,480,546,NA
6117666160,4/23/2016 12:00:00 AM,1,492,539,NA
6117666160,4/24/2016 12:00:00 AM,1,353,367,NA
6117666160,4/27/2016 12:00:00 AM,1,542,557,NA
6117666160,4/28/2016 12:00:00 AM,1,393,416,NA
6117666160,4/29/2016 12:00:00 AM,1,600,636,NA
6117666160,5/1/2016 12:00:00 AM,1,507,575,0005-01-20
6117666160,5/5/2016 12:00:00 AM,1,392,415,0005-05-20
6117666160,5/6/2016 12:00:00 AM,2,658,698,0005-06-20
6117666160,5/7/2016 12:00:00 AM,2,498,507,0005-07-20
6117666160,5/8/2016 12:00:00 AM,1,555,603,0005-08-20
6117666160,5/9/2016 12:00:00 AM,1,492,522,0005-09-20
6775888955,4/13/2016 12:00:00 AM,1,235,260,NA
6775888955,4/14/2016 12:00:00 AM,1,423,441,NA
6775888955,4/15/2016 12:00:00 AM,1,391,406,NA
6962181067,4/12/2016 12:00:00 AM,1,366,387,0004-12-20
6962181067,4/13/2016 12:00:00 AM,3,630,679,NA
6962181067,4/14/2016 12:00:00 AM,2,508,535,NA
6962181067,4/15/2016 12:00:00 AM,1,370,386,NA
6962181067,4/16/2016 12:00:00 AM,1,357,366,NA
6962181067,4/17/2016 12:00:00 AM,1,427,446,NA
6962181067,4/18/2016 12:00:00 AM,1,442,458,NA
6962181067,4/19/2016 12:00:00 AM,1,476,535,NA
6962181067,4/20/2016 12:00:00 AM,1,418,424,NA
6962181067,4/21/2016 12:00:00 AM,1,451,457,NA
6962181067,4/22/2016 12:00:00 AM,1,425,435,NA
6962181067,4/23/2016 12:00:00 AM,1,528,546,NA
6962181067,4/24/2016 12:00:00 AM,1,511,514,NA
6962181067,4/25/2016 12:00:00 AM,1,400,415,NA
6962181067,4/26/2016 12:00:00 AM,1,441,446,NA
6962181067,4/27/2016 12:00:00 AM,1,455,467,NA
6962181067,4/28/2016 12:00:00 AM,1,440,453,NA
6962181067,4/29/2016 12:00:00 AM,1,433,447,NA
6962181067,4/30/2016 12:00:00 AM,1,422,424,NA
6962181067,5/1/2016 12:00:00 AM,1,411,426,0005-01-20
6962181067,5/2/2016 12:00:00 AM,1,466,482,0005-02-20
6962181067,5/3/2016 12:00:00 AM,1,394,418,0005-03-20
6962181067,5/4/2016 12:00:00 AM,1,442,455,0005-04-20
6962181067,5/5/2016 12:00:00 AM,1,467,491,0005-05-20
6962181067,5/6/2016 12:00:00 AM,1,443,462,0005-06-20
6962181067,5/7/2016 12:00:00 AM,1,298,334,0005-07-20
6962181067,5/8/2016 12:00:00 AM,1,541,569,0005-08-20
6962181067,5/9/2016 12:00:00 AM,1,489,497,0005-09-20
6962181067,5/10/2016 12:00:00 AM,1,469,481,0005-10-20
6962181067,5/11/2016 12:00:00 AM,1,452,480,0005-11-20
6962181067,5/12/2016 12:00:00 AM,1,516,535,0005-12-20
7007744171,4/16/2016 12:00:00 AM,1,79,82,NA
7007744171,5/1/2016 12:00:00 AM,1,58,61,0005-01-20
7086361926,4/12/2016 12:00:00 AM,1,514,525,0004-12-20
7086361926,4/13/2016 12:00:00 AM,1,451,465,NA
7086361926,4/14/2016 12:00:00 AM,1,472,476,NA
7086361926,4/15/2016 12:00:00 AM,1,377,386,NA
7086361926,4/19/2016 12:00:00 AM,1,472,483,NA
7086361926,4/20/2016 12:00:00 AM,1,492,502,NA
7086361926,4/21/2016 12:00:00 AM,1,390,411,NA
7086361926,4/22/2016 12:00:00 AM,1,428,448,NA
7086361926,4/24/2016 12:00:00 AM,1,681,704,NA
7086361926,4/25/2016 12:00:00 AM,1,446,447,NA
7086361926,4/26/2016 12:00:00 AM,1,485,500,NA
7086361926,4/27/2016 12:00:00 AM,1,469,479,NA
7086361926,4/28/2016 12:00:00 AM,1,354,367,NA
7086361926,4/30/2016 12:00:00 AM,1,485,489,NA
7086361926,5/1/2016 12:00:00 AM,1,388,407,0005-01-20
7086361926,5/2/2016 12:00:00 AM,1,440,459,0005-02-20
7086361926,5/3/2016 12:00:00 AM,1,456,461,0005-03-20
7086361926,5/4/2016 12:00:00 AM,1,420,436,0005-04-20
7086361926,5/6/2016 12:00:00 AM,1,322,333,0005-06-20
7086361926,5/7/2016 12:00:00 AM,1,530,548,0005-07-20
7086361926,5/8/2016 12:00:00 AM,1,481,510,0005-08-20
7086361926,5/9/2016 12:00:00 AM,1,427,438,0005-09-20
7086361926,5/11/2016 12:00:00 AM,1,451,463,0005-11-20
7086361926,5/12/2016 12:00:00 AM,1,444,457,0005-12-20
8053475328,4/20/2016 12:00:00 AM,1,486,493,NA
8053475328,4/23/2016 12:00:00 AM,1,331,337,NA
8053475328,5/7/2016 12:00:00 AM,1,74,75,0005-07-20
8378563200,4/12/2016 12:00:00 AM,1,338,356,0004-12-20
8378563200,4/13/2016 12:00:00 AM,2,447,487,NA
8378563200,4/14/2016 12:00:00 AM,1,424,455,NA
8378563200,4/15/2016 12:00:00 AM,1,513,533,NA
8378563200,4/16/2016 12:00:00 AM,2,611,689,NA
8378563200,4/17/2016 12:00:00 AM,2,525,591,NA
8378563200,4/18/2016 12:00:00 AM,1,398,451,NA
8378563200,4/19/2016 12:00:00 AM,1,387,421,NA
8378563200,4/20/2016 12:00:00 AM,1,381,409,NA
8378563200,4/21/2016 12:00:00 AM,1,396,417,NA
8378563200,4/22/2016 12:00:00 AM,1,441,469,NA
8378563200,4/23/2016 12:00:00 AM,1,565,591,NA
8378563200,4/24/2016 12:00:00 AM,1,458,492,NA
8378563200,4/25/2016 12:00:00 AM,1,388,402,NA
8378563200,4/25/2016 12:00:00 AM,1,388,402,NA
8378563200,4/26/2016 12:00:00 AM,1,550,584,NA
8378563200,4/27/2016 12:00:00 AM,1,531,600,NA
8378563200,4/28/2016 12:00:00 AM,1,506,556,NA
8378563200,4/29/2016 12:00:00 AM,1,527,562,NA
8378563200,4/30/2016 12:00:00 AM,1,468,555,NA
8378563200,5/1/2016 12:00:00 AM,1,475,539,0005-01-20
8378563200,5/2/2016 12:00:00 AM,1,351,385,0005-02-20
8378563200,5/3/2016 12:00:00 AM,1,405,429,0005-03-20
8378563200,5/4/2016 12:00:00 AM,1,441,477,0005-04-20
8378563200,5/5/2016 12:00:00 AM,1,381,417,0005-05-20
8378563200,5/6/2016 12:00:00 AM,1,323,355,0005-06-20
8378563200,5/7/2016 12:00:00 AM,2,459,513,0005-07-20
8378563200,5/8/2016 12:00:00 AM,1,545,606,0005-08-20
8378563200,5/9/2016 12:00:00 AM,1,359,399,0005-09-20
8378563200,5/10/2016 12:00:00 AM,1,342,391,0005-10-20
8378563200,5/11/2016 12:00:00 AM,1,368,387,0005-11-20
8378563200,5/12/2016 12:00:00 AM,1,496,546,0005-12-20
8792009665,4/12/2016 12:00:00 AM,1,458,493,0004-12-20
8792009665,4/13/2016 12:00:00 AM,1,531,552,NA
8792009665,4/14/2016 12:00:00 AM,1,486,503,NA
8792009665,4/15/2016 12:00:00 AM,1,363,377,NA
8792009665,4/20/2016 12:00:00 AM,1,528,547,NA
8792009665,4/22/2016 12:00:00 AM,1,391,407,NA
8792009665,4/23/2016 12:00:00 AM,1,339,360,NA
8792009665,4/27/2016 12:00:00 AM,1,423,428,NA
8792009665,4/28/2016 12:00:00 AM,1,402,416,NA
8792009665,4/29/2016 12:00:00 AM,1,398,406,NA
8792009665,4/30/2016 12:00:00 AM,1,343,360,NA
8792009665,5/1/2016 12:00:00 AM,1,503,527,0005-01-20
8792009665,5/2/2016 12:00:00 AM,1,415,423,0005-02-20
8792009665,5/3/2016 12:00:00 AM,1,516,545,0005-03-20
8792009665,5/4/2016 12:00:00 AM,1,439,463,0005-04-20
